iter	Passed	Remaining
0	0	66
1	1	56
2	1	52
3	2	52
4	2	52
5	3	51
6	3	50
7	4	49
8	4	47
9	5	47
10	5	46
11	6	45
12	6	45
13	7	44
14	7	44
15	8	43
16	8	42
17	9	42
18	9	41
19	10	40
20	10	40
21	11	39
22	11	39
23	12	38
24	12	37
25	13	37
26	13	36
27	14	36
28	14	35
29	15	35
30	15	34
31	16	34
32	16	33
33	17	33
34	17	32
35	17	31
36	18	31
37	18	30
38	19	30
39	20	30
40	20	29
41	21	29
42	21	28
43	22	28
44	22	27
45	23	27
46	23	26
47	24	26
48	24	25
49	25	25
50	25	24
51	26	24
52	26	23
53	27	23
54	27	22
55	28	22
56	28	21
57	29	21
58	29	20
59	29	19
60	30	19
61	30	18
62	31	18
63	31	17
64	32	17
65	32	16
66	33	16
67	33	15
68	34	15
69	34	14
70	35	14
71	35	13
72	36	13
73	36	12
74	37	12
75	37	11
76	38	11
77	38	10
78	39	10
79	39	9
80	40	9
81	40	8
82	41	8
83	41	7
84	42	7
85	42	6
86	43	6
87	43	5
88	44	5
89	44	4
90	45	4
91	45	3
92	46	3
93	46	2
94	47	2
95	47	1
96	47	1
97	48	0
98	49	0
99	49	0
